"Cluster_ID"	"Gene"	"P_Value"
2	"PLCH2"	0.0364451725560413
2	"HSPG2"	1.64293468576317e-05
2	"HMGN2"	0.000206023631069043
2	"NFIA"	0.00296528125023956
2	"SYT11"	3.83715277124926e-07
2	"IRF2BP2"	0.0430539462558753
2	"HNRNPU"	0.0364451725560413
2	"ODC1"	0.0206804289646434
2	"CXCR4"	0.0125708961938897
2	"TBR1"	0.0232137542638676
2	"FN1"	1.64293468576317e-05
2	"COL6A3"	1.64293468576317e-05
2	"KIF1A"	0.0125708961938897
2	"BSN"	3.83715277124926e-07
2	"NISCH"	0.0131929964437542
2	"EPHA3"	1.64293468576317e-05
2	"BOC"	0.0131929964437542
2	"FSTL1"	1.64293468576317e-05
2	"PODXL2"	0.0430539462558753
2	"DIPK2A"	0.0232137542638676
2	"SHOX2"	0.0364451725560413
2	"AP2M1"	0.0364451725560413
2	"FHDC1"	0.00843828752228113
2	"FSTL5"	0.000206023631069043
2	"GPM6A"	0.0430539462558753
2	"LPCAT1"	0.013192996443754
2	"PCDHGC3"	0.0125708961938897
2	"H4C12"	0.0444667566503233
2	"HLA.A"	0.000145176510440614
2	"BAG6"	0.0430539462558753
2	"REV3L"	0.00663728263232052
2	"ADCY1"	0.0101208004981604
2	"FZD1"	0.000145176510440614
2	"ZKSCAN1"	0.0206804289646434
2	"MCM7"	0.0206804289646434
2	"MEST"	0.000206023631069043
2	"PLXNA4"	0.00663728263232052
2	"SLC13A4"	0.00663728263232052
2	"HIPK2"	0.0206804289646434
2	"CNTNAP2"	0.0364451725560413
2	"MTSS1"	0.00843828752228113
2	"ADAMTSL1"	0.0131929964437542
2	"TPM2"	3.83715277124926e-07
2	"PGM5"	3.83715277124926e-07
2	"COL27A1"	0.00663728263232052
2	"HSPA5"	0.00663728263232052
2	"COL5A1"	1.64293468576317e-05
2	"CAMSAP1"	0.0232137542638676
2	"TUBB4B"	0.000145176510440614
2	"VIM"	0.00663728263232052
2	"IGF2"	1.64293468576317e-05
2	"SPTBN2"	0.0206804289646434
2	"GRAMD1B"	0.00663728263232052
2	"TSPAN9"	0.000206023631069043
2	"GAPDH"	0.013192996443754
2	"PTPRO"	0.0232137542638676
2	"SLC38A1"	0.0247605819765598
2	"WIF1"	0.0194784197940864
2	"ATP2B1"	0.00843828752228113
2	"NCOR2"	0.00843828752228113
2	"COL4A2"	1.64293468576317e-05
2	"AKAP6"	1.64293468576374e-05
2	"CKB"	0.013192996443754
2	"KIF26A"	0.0364451725560413
2	"ACTC1"	0.000145176510440614
2	"THBS1"	0.00296528125023956
2	"B2M"	0.000206023631069043
2	"GLCE"	0.0194784197940864
2	"ALDH1A3"	0.00663728263232052
2	"GPRC5B"	0.0131929964437542
2	"FUS"	0.0364451725560413
2	"NKD1"	0.044389482750455
2	"COX4I1"	0.0444667566503233
2	"RPL13"	0.0444667566503233
2	"TUBB3"	0.013192996443754
2	"GABARAP"	0.000206023631069043
2	"UBB"	0.00663728263232052
2	"MPRIP"	0.0131929964437542
2	"NF1"	0.0194784197940864
2	"PLXDC1"	0.00663728263232052
2	"LGALS3BP"	0.0247605819765598
2	"COLEC12"	1.64293468576317e-05
2	"APCDD1"	0.000145176510440614
2	"DCC"	0.0206804289646434
2	"TCF4"	0.0194784197940864
2	"MIDN"	0.0247605819765598
2	"CIRBP"	3.83715277124926e-07
2	"TLE5"	0.000145176510440614
2	"NFIC"	0.0430539462558753
2	"SMARCA4"	0.0206804289646434
2	"RYR1"	0.044389482750455
2	"ATP1A3"	0.0247605819765598
2	"NOP53"	0.0364451725560413
2	"TNNT1"	0.0125708961938897
2	"PRNP"	0.0101208004981604
2	"LAMA5"	0.0125708961938897
2	"PCNT"	0.0125708961938897
2	"MYH9"	0.044389482750455
2	"SBF1"	0.0206804289646434
2	"DMD"	0.0131929964437542
2	"PLP1"	1.64293468576374e-05
2	"SLC6A8"	0.0206804289646434
2	"FLNA"	0.044389482750455
