ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	88	0.7613413268296414	4.359607352173573	1e-10	9.32e-9	7.757894736842107e-9	1686	tags=88%, list=18%, signal=72%	RPS7/RPL27A/RPL41/RPLP0/RPL21/RPS15A/RPL3/RPS25/RPL10/RPS27/RPS8/EEF1A1/RPL24/RPL13A/RPL26/RPL37A/RPL7A/RPL12/RPS18/RPL11/RPL30/RPS27A/RPL35A/RPS17/RPS16/RPS11/RPL7/RPL29/RPL10A/RPL15/RPS4X/RPS3/RPL39/RPS23/RPS19/RPS5/RPS10/RPL22/RPL4/RPLP1/RPL28/RPL6/RPSA/RPS28/RPS13/RPL14/RPS3A/RPS14/RPS9/RPL18/RPL31/RPL17/RPL18A/RPL37/RPL5/RPL8/RPS12/RPL32/RPL35/RPS24/RPL9/RPL23A/RPS6/RPL36A/RPS2/EEF1G/RPLP2/EEF1B2/RPL19/RPS21/FAU/RPL36AL/RPL34/RPL23/RPL27/EEF1D/UBA52
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	109	0.6620775688781414	3.8911474873721894	1e-10	9.32e-9	7.757894736842107e-9	1889	tags=80%, list=20%, signal=64%	RPS7/EIF3E/RPL27A/RPL41/RPLP0/RPL21/RPS15A/RPL3/RPS25/RPL10/RPS27/RPS8/RPL24/RPL13A/RPL26/RPL37A/RPL7A/RPL12/RPS18/RPL11/RPL30/RPS27A/RPL35A/RPS17/RPS16/RPS11/RPL7/RPL29/RPL10A/RPL15/RPS4X/RPS3/RPL39/RPS23/RPS19/RPS5/RPS10/RPL22/RPL4/RPLP1/RPL28/RPL6/RPSA/EIF4A1/RPS28/RPS13/RPL14/RPS3A/RPS14/RPS9/RPL18/RPL31/RPL17/RPL18A/RPL37/RPL5/RPL8/RPS12/EIF4B/RPL32/RPL35/RPS24/EIF3A/RPL9/RPL23A/RPS6/RPL36A/EIF3D/PABPC1/RPS2/RPLP2/EIF3H/RPL19/RPS21/FAU/RPL36AL/RPL34/RPL23/RPL27/EIF3K/UBA52/EIF4A2/EIF2S3/RPS20/RPL22L1/EIF4H/RPL13
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	96	0.6783031115468416	3.8713199735401838	1e-10	9.32e-9	7.757894736842107e-9	1889	tags=82%, list=20%, signal=66%	RPS7/RPL27A/RPL41/RPLP0/RPL21/RPS15A/RPL3/RPS25/RPL10/RPS27/RPS8/RPL24/RPL13A/RPL26/RPL37A/RPL7A/RPL12/RPS18/RPL11/RPL30/RPS27A/RPL35A/RPS17/RPS16/RPS11/RPL7/RPL29/RPL10A/RPL15/RPS4X/CEBPG/RPS3/RPL39/RPS23/RPS19/RPS5/RPS10/RPL22/RPL4/RPLP1/RPL28/RPL6/RPSA/RPS28/RPS13/RPL14/RPS3A/RPS14/RPS9/RPL18/RPL31/RPL17/RPL18A/RPL37/RPL5/RPL8/RPS12/RPL32/RPL35/RPS24/RPL9/RPL23A/RPS6/RPL36A/ATF2/RPS2/RPLP2/RPL19/RPS21/FAU/RPL36AL/RPL34/RPL23/RPL27/UBA52/EIF2S3/RPS20/RPL22L1/RPL13
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	107	0.6231844110137323	3.6283419442849834	1e-10	9.32e-9	7.757894736842107e-9	1695	tags=73%, list=18%, signal=60%	RPS7/RPL27A/RPL41/RPLP0/RPL21/RPS15A/RPL3/RPS25/RPL10/RPS27/RPS8/RPL24/RPL13A/RPL26/RPL37A/RPL7A/RPL12/RPS18/RPL11/RPL30/RPS27A/RPL35A/RPS17/RPS16/RPS11/RPL7/RPL29/RPL10A/RPL15/RPS4X/RPS3/RPL39/RPS23/RPS19/RPS5/RPS10/RPL22/RPL4/RPLP1/RPL28/RPL6/RPSA/RPS28/RPS13/RPL14/RPS3A/RPS14/RPS9/RPL18/RPL31/RPL17/RPL18A/RPL37/RPL5/RPL8/RPS12/RPL32/RPL35/RPS24/RPL9/RPL23A/RPS6/RPL36A/SRP14/SSR2/RPS2/RPLP2/RPL19/RPS21/FAU/RPL36AL/RPL34/RPL23/RPL27/SEC11A/DDOST/UBA52/RPN2
REACTOME_NONSENSE_MEDIATED_DECAY_NMD	REACTOME_NONSENSE_MEDIATED_DECAY_NMD	101	0.6011058755780241	3.537431259014155	1e-10	9.32e-9	7.757894736842107e-9	1626	tags=74%, list=18%, signal=62%	RPS7/RPL27A/RPL41/RPLP0/RPL21/GSPT1/RPS15A/RPL3/RPS25/RPL10/RPS27/RPS8/RPL24/RPL13A/RPL26/RPL37A/RPL7A/RPL12/RPS18/RPL11/RPL30/RPS27A/RPL35A/RPS17/RPS16/RPS11/RPL7/RPL29/RPL10A/RPL15/RPS4X/RPS3/RPL39/RPS23/RPS19/RPS5/RPS10/RPL22/RPL4/RPLP1/RPL28/RPL6/RPSA/RPS28/RPS13/RPL14/RPS3A/RPS14/RPS9/RPL18/RPL31/RPL17/RPL18A/RPL37/RPL5/RPL8/RPS12/RPL32/RPL35/RPS24/RPL9/RPL23A/RPS6/RPL36A/PABPC1/RPS2/RPLP2/RPL19/RPS21/FAU/RPL36AL/CASC3/RPL34/RPL23/RPL27
REACTOME_SELENOAMINO_ACID_METABOLISM	REACTOME_SELENOAMINO_ACID_METABOLISM	105	0.6087125027795731	3.5319030275447414	1e-10	9.32e-9	7.757894736842107e-9	1686	tags=74%, list=18%, signal=61%	RPS7/RPL27A/RPL41/RPLP0/RPL21/RPS15A/RPL3/RPS25/RPL10/RPS27/RPS8/RPL24/RPL13A/RPL26/RPL37A/RPL7A/RPL12/RPS18/RPL11/RPL30/RPS27A/RPL35A/RPS17/RPS16/RPS11/RPL7/RPL29/RPL10A/RPL15/RPS4X/RPS3/RPL39/RPS23/RPS19/RPS5/RPS10/RPL22/RPL4/RPLP1/RPL28/RPL6/RPSA/RPS28/RPS13/RPL14/RPS3A/RPS14/RPS9/QARS1/RPL18/AHCY/RPL31/RPL17/RPL18A/RPL37/RPL5/RPL8/RPS12/RPL32/RPL35/RPS24/RPL9/RPL23A/RPS6/RPL36A/RPS2/RPLP2/PAPSS1/RPL19/RPS21/AIMP1/FAU/RPL36AL/RPL34/RPL23/RPL27/DARS1/UBA52
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	54	0.647277632900241	3.294759094345263	1e-10	9.32e-9	7.757894736842107e-9	1881	tags=74%, list=20%, signal=59%	RPS7/EIF3E/RPS15A/RPS25/RPS27/RPS8/RPS18/RPS27A/RPS17/RPS16/RPS11/RPS4X/RPS3/RPS23/RPS19/RPS5/RPS10/RPSA/EIF4A1/RPS28/RPS13/RPS3A/RPS14/RPS9/RPS12/EIF4B/RPS24/EIF3A/RPS6/EIF3D/PABPC1/RPS2/EIF3H/RPS21/FAU/EIF3K/EIF4A2/EIF2S3/RPS20/EIF4H
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	150	0.4832593275303453	2.9977797254477276	1e-10	9.32e-9	7.757894736842107e-9	1686	tags=57%, list=18%, signal=48%	RPS7/ROBO1/RPL27A/RPL41/RPLP0/RPL21/GSPT1/RPS15A/RPL3/RPS25/RPL10/RPS27/RPS8/RPL24/RPL13A/UBB/RPL26/RPL37A/RPL7A/RPL12/RPS18/RPL11/RPL30/LHX9/RPS27A/RPL35A/RPS17/RPS16/RPS11/RPL7/RPL29/RPL10A/RPL15/RPS4X/RPS3/RPL39/RPS23/RPS19/RPS5/RPS10/RPL22/RPL4/RPLP1/MSI1/RPL28/RPL6/RPSA/RPS28/RPS13/RPL14/RPS3A/RPS14/RPS9/RPL18/RPL31/COL4A5/RPL17/RPL18A/RPL37/RPL5/RPL8/RPS12/RPL32/RPL35/PSME1/RPS24/RPL9/PSMB6/RPL23A/RPS6/RPL36A/PABPC1/RPS2/ROBO2/RPLP2/PSMD12/RPL19/RPS21/FAU/RPL36AL/CASC3/RPL34/RPL23/RPL27/PSME2/UBA52
REACTOME_CELLULAR_RESPONSE_TO_STARVATION	REACTOME_CELLULAR_RESPONSE_TO_STARVATION	132	0.47726522055175563	2.817274574986719	1e-10	9.32e-9	7.757894736842107e-9	1626	tags=59%, list=18%, signal=49%	RPS7/CASTOR2/RPL27A/RPL41/RPLP0/RPL21/RPS15A/RPL3/RPS25/FNIP2/RPL10/RPS27/RPS8/RPL24/RPL13A/RPL26/RPL37A/RPL7A/RPL12/RPS18/RPL11/RPL30/RPS27A/RPL35A/RPS17/RPS16/RPS11/RPL7/RPL29/RPL10A/RPL15/RPS4X/CEBPG/RPS3/RPL39/RPS23/RPS19/RPS5/RPS10/RPL22/RPL4/RPLP1/RPL28/RPL6/RPSA/RPS28/RPS13/RPL14/RPS3A/RPS14/RPS9/RPL18/RPL31/RPL17/RPL18A/RPL37/RPL5/RPL8/RPS12/RPL32/RPL35/RPS24/RPL9/RPL23A/RPS6/RPL36A/ATF2/RPS2/RPLP2/RPL19/RPS21/LAMTOR5/FAU/ATP6V0D1/RPL36AL/RPL34/RPL23/RPL27
REACTOME_INFLUENZA_INFECTION	REACTOME_INFLUENZA_INFECTION	135	0.4322882949058526	2.633661261921507	1e-10	9.32e-9	7.757894736842107e-9	1626	tags=59%, list=18%, signal=49%	RPS7/RPL27A/RPL41/RPLP0/RPL21/RPS15A/RPL3/POM121/RPS25/RPL10/RPS27/RPS8/RPL24/RPL13A/RPL26/RPL37A/RPL7A/RPL12/RPS18/RPL11/RPL30/RPS27A/RPL35A/RPS17/RPS16/RPS11/CLTC/RPL7/RPL29/RPL10A/RPL15/RPS4X/RPS3/KPNB1/RPL39/RPS23/CALR/RPS19/RPS5/RPS10/RPL22/RPL4/POM121C/RPLP1/RPL28/RPL6/RPSA/RPS28/RPS13/RPL14/RPS3A/RPS14/RPS9/RPL18/RPL31/RPL17/RPL18A/RPL37/RPL5/RPL8/RPS12/RPL32/RPL35/RPS24/RPL9/RPL23A/RPS6/RPL36A/POLR2D/RPS2/RPLP2/RPL19/RPS21/HSPA1A/FAU/RPL36AL/RPL34/RPL23/RPL27
